ID,Song Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Top 50
39,The Weeknd,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,Yes
40,Luísa Sonza,TOMA,0.762,0.597,5,-5.306,0,0.282,0.0999,0,0.19,0.267,75.063,4,Yes
41,Manu Gavassi,Deve ser horrível dormir sem mim,0.698,0.722,1,-6.571,1,0.146,0.0134,1.03E-05,0.115,0.753,126.739,5,Yes
42,Luíza & Maurílio,S de Saudade,0.714,0.712,11,-4.403,1,0.0545,0.621,0,0.127,0.789,123.804,4,Yes
43,Matuê,777-666,0.544,0.802,10,-4.534,0,0.326,0.0534,0,0.139,0.322,179.924,4,Yes
44,Niack,Na Raba Toma Tapão,0.962,0.787,3,1.509,0,0.0554,0.666,5.74E-05,0.176,0.968,130.003,4,Yes
45,Conde do Forró,Romance Desapegado,0.749,0.74,7,-4.786,0,0.0273,0.505,9.09E-05,0.0989,0.611,122.04,4,Yes
46,Henrique & Juliano,Liberdade Provisória - Ao Vivo,0.668,0.684,1,-5.937,1,0.0527,0.627,0,0.923,0.7,108.138,4,Yes
47,Gusttavo Lima,Tudo que Eu Queria - Ao Vivo,0.654,0.648,4,-4.462,1,0.0443,0.406,0,0.104,0.612,143.838,4,Yes
48,Marcos & Belutti,Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,0.536,0.854,1,-4.012,0,0.0637,0.127,0,0.107,0.769,75.95,4,Yes
49,Marília Mendonça,Graveto - Ao Vivo,0.714,0.632,9,-5.1,1,0.0312,0.292,0,0.812,0.402,93.052,4,Yes
